,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,publicationyear,age,agecategory,timeperiod
17142,PG2542_text.txt,A Doll's House : a play,"Ibsen, Henrik",1828.0,1906.0,['en'],21753.0,"{'Man-woman relationships -- Drama', 'Wives -- Drama', 'Norwegian drama -- Translations into English', 'Marriage -- Drama'}",Text,1879,51.0,3,4.0
18909,PG2701_text.txt,"Moby Dick; Or, The Whale","Melville, Herman",1819.0,1891.0,['en'],16459.0,"{'Ahab, Captain (Fictitious character) -- Fiction', 'Mentally ill -- Fiction', 'Whaling -- Fiction', 'Whaling ships -- Fiction', 'Psychological fiction', 'Sea stories', 'Whales -- Fiction', 'Adventure stories', 'Ship captains -- Fiction'}",Text,1850,31.0,1,3.0
7354,PG1661_text.txt,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan",1859.0,1930.0,['en'],14172.0,"{'Holmes, Sherlock (Fictitious character) -- Fiction', 'Private investigators -- England -- Fiction', 'Detective and mystery stories, English'}",Text,1892,33.0,1,5.0
17275,PG2554_text.txt,Crime and Punishment,"Dostoyevsky, Fyodor",1821.0,1881.0,['en'],12174.0,"{'Saint Petersburg (Russia) -- Fiction', 'Detective and mystery stories', 'Psychological fiction', 'Russia -- Fiction'}",Text,1866,45.0,2,4.0
10586,PG1952_text.txt,The Yellow Wallpaper,"Gilman, Charlotte Perkins",1860.0,1935.0,['en'],11344.0,"{'Married women -- Psychology -- Fiction', 'Feminist fiction', 'Sex role -- Fiction', 'Psychological fiction', 'Mentally ill women -- Fiction'}",Text,1892,32.0,1,5.0
8331,PG174_text.txt,The Picture of Dorian Gray,"Wilde, Oscar",1854.0,1900.0,['en'],11160.0,"{'Paranormal fiction', 'Appearance (Philosophy) -- Fiction', 'Great Britain -- History -- Victoria, 1837-1901 -- Fiction', 'Conduct of life -- Fiction', 'Supernatural -- Fiction', 'London (England) -- History -- 1800-1950 -- Fiction', 'Portraits -- Fiction', 'Didactic fiction'}",Text,1890,36.0,2,5.0
17686,PG2591_text.txt,Grimms' Fairy Tales,"Grimm, Jacob",1785.0,1863.0,['en'],11014.0,{'Fairy tales -- Germany'},Text,1857,72.0,4,3.0
17787,PG2600_text.txt,War and Peace,"Tolstoy, Leo, graf",1828.0,1910.0,['en'],10861.0,"{'Napoleonic Wars, 1800-1815 -- Campaigns -- Russia -- Fiction', 'War stories', 'Historical fiction', 'Russia -- History -- Alexander I, 1801-1825 -- Fiction', 'Aristocracy (Social class) -- Russia -- Fiction'}",Text,1869,41.0,2,4.0
2899,PG1260_text.txt,Jane Eyre: An Autobiography,"Brontë, Charlotte",1816.0,1855.0,['en'],10753.0,"{'Married people -- Fiction', 'Bildungsromans', 'Fathers and daughters -- Fiction', 'Country homes -- Fiction', 'England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Charity-schools -- Fiction', 'Orphans -- Fiction', 'Governesses -- Fiction', 'Mentally ill women -- Fiction'}",Text,1847,31.0,1,3.0
11776,PG205_text.txt,"Walden, and On The Duty Of Civil Disobedience","Thoreau, Henry David",1817.0,1862.0,['en'],10523.0,"{'Government, Resistance to', 'Authors, American -- 19th century -- Biography', 'Natural history -- Massachusetts -- Walden Woods', 'Solitude', 'Civil disobedience', 'Wilderness areas -- Massachusetts -- Walden Woods', 'Thoreau, Henry David, 1817-1862 -- Homes and haunts -- Massachusetts -- Walden Woods', 'Walden Woods (Mass.) -- Social life and customs'}",Text,1848,31.0,1,3.0
4455,PG1400_text.txt,Great Expectations,"Dickens, Charles",1812.0,1870.0,['en'],9888.0,"{'Bildungsromans', 'Revenge -- Fiction', 'England -- Fiction', 'Ex-convicts -- Fiction', 'Young men -- Fiction', 'Orphans -- Fiction', 'Man-woman relationships -- Fiction', 'Benefactors -- Fiction'}",Text,1861,49.0,2,4.0
2333,PG120_text.txt,Treasure Island,"Stevenson, Robert Louis",1850.0,1894.0,['en'],7619.0,"{'Treasure Island (Imaginary place) -- Fiction', 'Pirates -- Fiction', 'Treasure troves -- Fiction', 'Sea stories'}",Text,1883,33.0,1,5.0
56650,PG768_text.txt,Wuthering Heights,"Brontë, Emily",1818.0,1848.0,['en'],6623.0,"{'Rural families -- Fiction', 'Heathcliff (Fictitious character : Brontë) -- Fiction', 'Revenge -- Fiction', 'Domestic fiction', 'Rejection (Psychology) -- Fiction', 'Love stories', 'Triangles (Interpersonal relations) -- Fiction', 'Foundlings -- Fiction', 'Psychological fiction', 'Yorkshire (England) -- Fiction'}",Text,1850,32.0,1,3.0
20058,PG28054_text.txt,The Brothers Karamazov,"Dostoyevsky, Fyodor",1821.0,1881.0,['en'],6483.0,"{'Russia -- Social life and customs -- 1533-1917 -- Fiction', 'Brothers -- Fiction', 'Didactic fiction', 'Fathers and sons -- Fiction'}",Text,1880,59.0,3,4.0
3588,PG1322_text.txt,Leaves of Grass,"Whitman, Walt",1819.0,1892.0,['en'],6037.0,{'American poetry -- 19th century'},Text,1855,36.0,2,3.0
3999,PG135_text.txt,Les Misérables,"Hugo, Victor",1802.0,1885.0,['en'],5876.0,"{'Ex-convicts -- Fiction', 'Epic literature', 'Paris (France) -- Fiction', 'Orphans -- Fiction', 'Historical fiction'}",Text,1832,30.0,1,2.0
56850,PG786_text.txt,Hard Times,"Dickens, Charles",1812.0,1870.0,['en'],5770.0,"{'Utilitarianism -- Fiction', 'Domestic fiction', 'England -- Fiction', 'Social problems -- Fiction', 'Political fiction', 'Education -- Fiction'}",Text,1854,42.0,2,3.0
16109,PG244_text.txt,A Study in Scarlet,"Doyle, Arthur Conan",1859.0,1930.0,['en'],5687.0,"{'Detective and mystery stories', 'Holmes, Sherlock (Fictitious character) -- Fiction', 'Private investigators -- England -- Fiction', 'England -- Fiction'}",Text,1890,31.0,1,5.0
11554,PG203_text.txt,Uncle Tom's Cabin,"Stowe, Harriet Beecher",1811.0,1896.0,['en'],5572.0,"{'Southern States -- Fiction', 'Fugitive slaves -- Fiction', 'Slaves -- Fiction', 'Slavery -- Fiction', 'African Americans -- Fiction', 'Political fiction', 'Master and servant -- Fiction', 'Plantation life -- Fiction', 'Uncle Tom (Fictitious character) -- Fiction', 'Didactic fiction'}",Text,1855,44.0,2,3.0
54996,PG61_text.txt,The Communist Manifesto,"Engels, Friedrich",1820.0,1895.0,['en'],5256.0,"{'Socialism', 'Communism'}",Text,1848,28.0,1,3.0
56229,PG730_text.txt,Oliver Twist,"Dickens, Charles",1812.0,1870.0,['en'],4763.0,"{'Bildungsromans', 'London (England) -- Fiction', 'Kidnapping victims -- Fiction', 'Criminals -- Fiction', 'Orphans -- Fiction', 'Boys -- Fiction'}",Text,1837,25.0,1,2.0
37374,PG4363_text.txt,Beyond Good and Evil,"Nietzsche, Friedrich Wilhelm",1844.0,1900.0,['en'],4730.0,"{'Philosophy, German', 'Ethics'}",Text,1886,42.0,2,5.0
6888,PG161_text.txt,Sense and Sensibility,"Austen, Jane",1775.0,1817.0,['en'],4551.0,"{'England -- Social life and customs -- 19th century -- Fiction', 'Mate selection -- Fiction', 'Domestic fiction', 'Young women -- Fiction', 'England -- Fiction', 'Love stories', 'Gentry -- England -- Fiction', 'Sisters -- Fiction', 'Inheritance and succession -- Fiction', 'Regency fiction', 'Social classes -- Fiction'}",Text,1811,36.0,2,1.0
30663,PG375_text.txt,An Occurrence at Owl Creek Bridge,"Bierce, Ambrose",1842.0,1913.0,['en'],4496.0,"{'Prisoners -- Fiction', 'United States -- History -- Civil War, 1861-1865 -- Fiction', 'Short stories'}",Text,1891,49.0,2,5.0
46108,PG514_text.txt,Little Women,"Alcott, Louisa May",1832.0,1888.0,['en'],4473.0,"{'Bildungsromans', 'Mothers and daughters -- Fiction', 'Domestic fiction', 'Young women -- Fiction', 'New England -- Fiction', 'Family life -- New England -- Fiction', 'Sisters -- Fiction', 'March family (Fictitious characters) -- Fiction', 'Autobiographical fiction'}",Text,1869,37.0,2,4.0
5997,PG15399_text.txt,"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African: Written By Himself","Equiano, Olaudah",1745.0,1797.0,['en'],3591.0,"{'Slaves -- United States -- Biography', 'Equiano, Olaudah, 1745-1797', 'Slaves -- Great Britain -- Biography'}",Text,1789,44.0,2,0.0
12764,PG2148_text.txt,The Works of Edgar Allan Poe — Volume 2,"Poe, Edgar Allan",1809.0,1849.0,['en'],3539.0,"{'Horror tales, American', 'Fantasy fiction', 'American fiction -- 19th century', 'Short stories'}",Text,1829,20.0,0,2.0
27666,PG34901_text.txt,On Liberty,"Mill, John Stuart",1806.0,1873.0,['en'],3531.0,{'Liberty'},Text,1859,53.0,3,3.0
2444,PG121_text.txt,Northanger Abbey,"Austen, Jane",1775.0,1817.0,['en'],3519.0,"{'England -- Social life and customs -- 19th century -- Fiction', 'England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Gentry -- England -- Fiction', 'Horror tales -- Appreciation -- Fiction', 'Satire', 'Marriage -- Economic aspects -- Fiction', 'Books and reading -- Fiction', 'Gothic fiction'}",Text,1817,42.0,2,1.0
4442,PG1399_text.txt,Anna Karenina,"Tolstoy, Leo, graf",1828.0,1910.0,['en'],3493.0,"{'Love stories', 'Adultery -- Fiction', 'Married women -- Fiction', 'Russia -- Fiction', 'Didactic fiction'}",Text,1877,49.0,2,4.0
4666,PG141_text.txt,Mansfield Park,"Austen, Jane",1775.0,1817.0,['en'],3367.0,"{'Country homes -- Fiction', 'England -- Fiction', 'Young women -- Fiction', 'Domestic fiction', 'Love stories', 'Cousins -- Fiction', 'Children of the rich -- Fiction', 'Adoptees -- Fiction', 'Uncles -- Fiction'}",Text,1821,46.0,2,2.0
5110,PG145_text.txt,Middlemarch,"Eliot, George",1819.0,1880.0,['en'],2984.0,"{'Married people -- Fiction', 'Bildungsromans', 'England -- Fiction', 'Young women -- Fiction', 'Domestic fiction', 'Love stories', 'City and town life -- Fiction', 'Didactic fiction'}",Text,1871,52.0,3,4.0
56628,PG766_text.txt,David Copperfield,"Dickens, Charles",1812.0,1870.0,['en'],2898.0,"{'Bildungsromans', 'Child labor -- Fiction', 'England -- Fiction', 'Young men -- Fiction', 'Orphans -- Fiction', 'Stepfathers -- Fiction', 'Boys -- Fiction', 'Autobiographical fiction'}",Text,1850,38.0,2,3.0
